clusterhead_1,clusterhead_2,distance
5,6,74.294649
5,8,210.792475
5,9,283.652046
5,11,329.779037
5,12,212.694470
5,15,76.137641
5,16,104.135122
5,17,137.792810
5,20,388.974738
5,22,262.344034
5,23,209.746037
5,24,147.865853
5,25,138.268921
5,27,195.706003
5,28,262.960943
5,31,355.868839
5,32,283.633556
5,33,263.496649
5,34,202.824052
5,36,208.981153
5,37,266.475295
5,38,314.844886
5,39,373.305828
5,40,436.970086
5,42,351.002294
5,44,289.697237
5,45,276.093177
5,46,317.229876
5,47,328.787820
5,50,516.941002
5,51,454.532435
5,52,415.243805
5,53,367.106539
5,54,347.382993
5,57,384.744550
5,58,463.756181
5,60,529.775550
5,61,492.401172
5,62,467.177752
5,63,453.684122
5,64,443.283493
5,65,428.005744
5,66,464.568440
5,67,484.205982
5,71,562.054787
5,72,563.753333
5,73,500.913370
5,74,524.109623
5,76,510.346281
5,77,542.794245
5,78,589.735107
5,80,681.185585
5,81,609.623747
5,82,582.188681
5,83,585.815432
5,85,578.083634
5,86,604.460165
5,87,630.260585
5,88,662.757596
5,89,681.541567
5,92,666.745442
6,8,137.355020
6,9,210.856154
6,11,403.730518
6,12,286.599799
6,15,108.470421
6,16,77.569397
6,17,77.848520
6,20,462.227083
6,22,332.727069
6,23,272.530988
6,24,195.166071
6,25,155.306346
6,27,152.659599
6,28,207.814757
6,31,424.481489
6,32,347.507507
6,33,320.798769
6,34,247.689614
6,36,207.603347
6,37,238.043571
6,38,269.674908
6,39,326.503218
6,40,503.609998
6,42,403.272779
6,44,322.859284
6,45,291.699034
6,46,309.750769
6,47,311.314958
6,50,579.186407
6,51,510.397819
6,52,463.361669
6,53,405.912603
6,54,371.377319
6,57,366.988754
6,58,435.166810
6,60,586.780752
6,61,544.803143
6,62,508.991370
6,63,490.053906
6,64,463.770467
6,65,441.755307
6,66,466.785673
6,67,473.381080
6,71,609.784339
6,72,601.998414
6,73,530.095501
6,74,543.544837
6,76,507.585898
6,77,534.784341
6,78,567.054566
6,80,727.797153
6,81,651.188402
6,82,617.913058
6,83,613.519249
6,85,589.605494
6,86,603.528718
6,87,624.078408
6,88,646.749584
6,89,657.591306
6,92,697.947110
8,9,73.901714
8,11,537.206037
8,12,420.404579
8,15,218.119117
8,16,148.835842
8,17,91.627397
8,20,593.404853
8,22,459.114748
8,23,389.343324
8,24,299.654535
8,25,234.461433
8,27,133.480784
8,28,130.026726
8,31,546.471580
8,32,463.265160
8,33,427.903642
8,34,343.253098
8,36,245.743546
8,37,218.242787
8,38,204.475694
8,39,249.188488
8,40,621.016525
8,42,499.376040
8,44,394.970684
8,45,340.430674
8,46,316.803979
8,47,299.296873
8,50,687.655472
8,51,609.058216
8,52,550.622887
8,53,480.862983
8,54,425.089814
8,57,347.305216
8,58,387.673514
8,60,685.845653
8,61,636.797644
8,62,584.261213
8,63,556.993648
8,64,505.307448
8,65,473.094154
8,66,476.051695
8,67,458.067422
8,71,692.251170
8,72,668.254794
8,73,583.240099
8,74,579.252182
8,76,505.269959
8,77,521.229310
8,78,523.907204
8,80,805.990196
8,81,721.963339
8,82,679.345247
8,83,661.077582
8,85,609.345816
8,86,600.031880
8,87,610.032511
8,88,613.368475
8,89,608.662433
8,92,749.326703
9,11,607.484246
9,12,491.173052
9,15,283.745747
9,16,211.717394
9,17,155.656830
9,20,662.258996
9,22,526.122707
9,23,452.907909
9,24,360.513407
9,25,290.040783
9,27,167.484058
9,28,126.457478
9,31,610.861552
9,32,525.474967
9,33,486.856027
9,34,399.439495
9,36,284.943094
9,37,232.892032
9,38,192.462169
9,39,222.432364
9,40,682.733173
9,42,552.378089
9,44,439.818734
9,45,377.313816
9,46,335.319800
9,47,309.110975
9,50,744.554193
9,51,661.854235
9,52,598.780504
9,53,524.624836
9,54,460.631946
9,57,349.347738
9,58,371.108733
9,60,738.130517
9,61,686.106065
9,62,626.226018
9,63,595.431449
9,64,532.575703
9,65,496.246818
9,66,487.807340
9,67,457.196598
9,71,736.324616
9,72,704.605131
9,73,614.466284
9,74,601.838772
9,76,509.925133
9,77,519.281099
9,78,505.085137
9,80,846.866827
9,81,759.912339
9,82,713.145536
9,83,688.170596
9,85,623.088166
9,86,601.617092
9,87,605.645291
9,88,598.113617
9,89,584.589749
9,92,777.158653
11,12,117.131564
11,15,327.473264
11,16,399.801734
11,17,452.733338
11,20,65.232033
11,22,102.276630
11,23,185.850379
11,24,272.617624
11,25,347.094797
11,27,477.375581
11,28,553.117275
11,31,114.040554
11,32,156.270502
11,33,204.570661
11,34,269.510413
11,36,406.161145
11,37,501.285951
11,38,576.760765
11,39,630.955227
11,40,181.351018
11,42,252.227766
11,44,329.125666
11,45,388.531302
11,46,482.443085
11,47,518.591039
11,50,279.802330
11,51,282.090586
11,52,309.164407
11,53,335.408611
11,54,392.392339
11,57,560.903775
11,58,657.763242
11,60,328.363497
11,61,331.655893
11,62,378.199605
11,63,398.391463
11,64,466.003880
11,65,483.416899
11,66,554.364671
11,67,616.634544
11,71,413.237254
11,72,468.204748
11,73,467.022356
11,74,529.352580
11,76,608.633310
11,77,654.523511
11,78,747.126043
11,80,518.538564
11,81,486.738724
11,82,496.028355
11,83,539.203177
11,85,606.291742
11,86,679.134629
11,87,721.707951
11,88,787.506012
11,89,833.569575
11,92,588.565227
12,15,214.286327
12,16,285.633584
12,17,337.109422
12,20,177.238845
12,22,76.973156
12,23,111.439059
12,24,173.645044
12,25,242.594301
12,27,367.227878
12,28,442.734550
12,31,166.890975
12,32,136.755352
12,33,160.855521
12,34,188.867808
12,36,309.660994
12,37,401.344819
12,38,472.748843
12,39,528.914588
12,40,251.462950
12,42,242.063399
12,44,270.881702
12,45,313.173958
12,46,399.074478
12,47,430.380260
12,50,345.165074
12,51,313.506946
12,52,310.394156
12,53,306.371282
12,54,339.856999
12,57,478.086254
12,58,572.873231
12,60,377.659936
12,61,361.078066
12,62,377.955102
12,63,385.336028
12,64,427.403267
12,65,434.314839
12,66,497.454862
12,67,548.645230
12,71,441.840366
12,72,476.274041
12,73,449.943104
12,74,500.689251
12,76,551.147917
12,77,594.235298
12,78,674.945766
12,80,557.315143
12,81,507.219541
12,82,501.491732
12,83,530.684530
12,85,572.546058
12,86,631.720458
12,87,669.855995
12,88,726.321222
12,89,764.625963
12,92,594.327192
15,16,72.669246
15,17,128.202990
15,20,379.496740
15,22,242.402894
15,23,171.466704
15,24,87.055391
15,25,62.487278
15,27,154.365122
15,28,229.187409
15,31,328.357688
15,32,245.919435
15,33,214.536755
15,34,139.254934
15,36,136.156939
15,37,206.252491
15,38,266.839875
15,39,324.957935
15,40,403.581064
15,42,295.024149
15,44,218.461607
15,45,200.047424
15,46,244.386216
15,47,259.935364
15,50,474.395243
15,51,402.713117
15,52,354.939738
15,53,299.417417
15,54,272.984704
15,57,315.169973
15,58,399.037951
15,60,479.310763
15,61,436.435584
15,62,401.755601
15,63,384.762737
15,64,368.317152
15,65,352.044325
15,66,388.797400
15,67,411.147800
15,71,501.466847
15,72,496.130722
15,73,428.679835
15,74,449.067937
15,76,435.209409
15,77,468.711565
15,78,520.811832
15,80,619.683757
15,81,544.210048
15,82,513.148357
15,83,513.176599
15,85,502.068110
15,86,528.885341
15,87,555.550434
15,88,590.757759
15,89,612.808980
15,92,595.613405
16,17,57.289311
16,20,452.165337
16,22,314.821116
16,23,241.490837
16,24,150.819515
16,25,89.842505
16,27,91.856173
16,28,162.375741
16,31,399.282745
16,32,314.829429
16,33,279.141204
16,34,195.778773
16,36,130.662271
16,37,165.945878
