time,event_type,node_id,parent_gui,role,join_time
0.0,JOINED,0,1,Roles.REGISTERED,31.100219
0.0,JOINED,3,1,Roles.REGISTERED,59.551599
0.0,JOINED,13,3,Roles.REGISTERED,61.100213
0.0,JOINED,15,3,Roles.REGISTERED,61.100500
0.0,JOINED,4,3,Roles.REGISTERED,62.000426
0.0,JOINED,25,15,Roles.REGISTERED,69.551651
0.0,JOINED,34,15,Roles.REGISTERED,69.551751
0.0,JOINED,12,1,Roles.REGISTERED,76.086922
0.0,JOINED,23,12,Roles.REGISTERED,76.100555
0.0,JOINED,22,12,Roles.REGISTERED,81.086938
0.0,JOINED,26,15,Roles.REGISTERED,86.100855
0.0,JOINED,43,23,Roles.REGISTERED,89.551700
0.0,JOINED,54,43,Roles.REGISTERED,89.552796
0.0,JOINED,24,23,Roles.REGISTERED,91.087023
0.0,JOINED,30,22,Roles.REGISTERED,91.100457
0.0,JOINED,36,25,Roles.REGISTERED,91.101064
0.0,JOINED,40,30,Roles.REGISTERED,94.552067
0.0,JOINED,45,43,Roles.REGISTERED,94.552138
0.0,JOINED,21,12,Roles.REGISTERED,94.552227
0.0,JOINED,44,34,Roles.REGISTERED,99.552016
0.0,JOINED,5,3,Roles.REGISTERED,99.552191
0.0,JOINED,6,15,Roles.REGISTERED,100.000515
0.0,NODE_FAIL,5,Roles.REGISTERED
0.0,JOINED,32,12,Roles.REGISTERED,100.743805
0.0,JOINED,31,12,Roles.REGISTERED,101.087298
0.0,JOINED,2,1,Roles.REGISTERED,101.810649
0.0,NODE_FAIL,76,Roles.UNREGISTERED
0.0,JOINED,35,25,Roles.REGISTERED,104.551926
0.0,JOINED,16,15,Roles.REGISTERED,105.618791
0.0,NODE_FAIL,11,Roles.UNREGISTERED
0.0,JOINED,53,43,Roles.REGISTERED,109.552161
0.0,JOINED,65,54,Roles.REGISTERED,109.553091
0.0,JOINED,74,54,Roles.REGISTERED,109.553169
0.0,JOINED,56,45,Roles.REGISTERED,109.553242
0.0,JOINED,20,1,Roles.REGISTERED,111.100796
0.0,JOINED,46,45,Roles.REGISTERED,114.552128
0.0,JOINED,52,43,Roles.REGISTERED,114.552187
0.0,JOINED,55,54,Roles.REGISTERED,114.552198
0.0,JOINED,10,1,Roles.REGISTERED,114.552376
0.0,JOINED,64,54,Roles.REGISTERED,114.552990
0.0,JOINED,37,56,Roles.REGISTERED,114.553285
0.0,JOINED,62,52,Roles.REGISTERED,114.553755
0.0,JOINED,84,74,Roles.REGISTERED,114.554206
0.0,JOINED,14,3,Roles.REGISTERED,118.005008
0.0,JOINED,63,54,Roles.REGISTERED,119.552904
0.0,JOINED,61,52,Roles.REGISTERED,119.553058
0.0,JOINED,73,54,Roles.REGISTERED,119.553104
0.0,JOINED,75,74,Roles.REGISTERED,119.553106
0.0,JOINED,57,46,Roles.REGISTERED,121.102660
0.0,JOINED,28,37,Roles.REGISTERED,121.102964
0.0,JOINED,66,65,Roles.REGISTERED,124.553164
0.0,JOINED,72,62,Roles.REGISTERED,124.554089
0.0,JOINED,27,25,Roles.REGISTERED,124.926404
0.0,JOINED,29,28,Roles.REGISTERED,124.927900
0.0,JOINED,8,28,Roles.REGISTERED,124.927975
0.0,JOINED,60,62,Roles.REGISTERED,126.101051
0.0,JOINED,47,56,Roles.REGISTERED,126.101372
0.0,JOINED,33,23,Roles.REGISTERED,128.097094
0.0,JOINED,83,74,Roles.REGISTERED,129.553407
0.0,JOINED,58,56,Roles.REGISTERED,129.553593
0.0,JOINED,51,30,Roles.REGISTERED,131.087639
0.0,JOINED,50,30,Roles.REGISTERED,131.100727
0.0,JOINED,18,28,Roles.REGISTERED,131.101544
0.0,JOINED,48,37,Roles.REGISTERED,131.101623
0.0,JOINED,67,56,Roles.REGISTERED,134.015609
0.0,JOINED,77,56,Roles.REGISTERED,134.553612
0.0,JOINED,93,84,Roles.REGISTERED,134.553645
0.0,JOINED,95,84,Roles.REGISTERED,134.553736
0.0,JOINED,81,62,Roles.REGISTERED,134.553738
0.0,JOINED,68,57,Roles.REGISTERED,134.553815
0.0,JOINED,39,58,Roles.REGISTERED,134.554930
0.0,JOINED,41,22,Roles.REGISTERED,135.000537
0.0,JOINED,38,58,Roles.REGISTERED,136.101671
0.0,JOINED,85,74,Roles.REGISTERED,139.553465
0.0,JOINED,82,74,Roles.REGISTERED,139.553530
0.0,JOINED,94,84,Roles.REGISTERED,139.553625
0.0,JOINED,92,84,Roles.REGISTERED,139.553697
0.0,JOINED,80,72,Roles.REGISTERED,139.554374
0.0,JOINED,42,43,Roles.REGISTERED,140.000467
0.0,JOINED,9,28,Roles.REGISTERED,141.103276
0.0,JOINED,19,39,Roles.REGISTERED,141.104818
0.0,JOINED,96,85,Roles.REGISTERED,144.554953
0.0,ORPHAN,26,15,Roles.Router
0.0,NODE_FAIL,86,Roles.UNREGISTERED
0.0,JOINED,71,62,Roles.REGISTERED,149.553641
0.0,JOINED,49,58,Roles.REGISTERED,149.553748
0.0,JOINED,59,57,Roles.REGISTERED,149.553829
0.0,JOINED,78,57,Roles.REGISTERED,149.553837
0.0,JOINED,87,77,Roles.REGISTERED,150.709371
0.0,JOINED,69,77,Roles.REGISTERED,150.709412
0.0,NODE_FAIL,46,Roles.CLUSTER_HEAD
0.0,JOINED,91,82,Roles.REGISTERED,151.888729
0.0,ORPHAN,40,30,Roles.Router
0.0,JOINED,88,77,Roles.REGISTERED,154.553993
0.0,JOINED,17,28,Roles.REGISTERED,156.101082
0.0,JOINED,70,62,Roles.REGISTERED,159.554103
0.0,JOINED,89,68,Roles.REGISTERED,159.554185
0.0,JOINED,98,87,Roles.REGISTERED,159.554284
0.0,JOINED,79,77,Roles.REGISTERED,160.709426
0.0,ORPHAN,13,3,Roles.Router
0.0,ORPHAN,4,3,Roles.Router
0.0,JOINED,7,17,Roles.REGISTERED,164.002258
0.0,ORPHAN,35,25,Roles.Router
0.0,JOINED,97,96,Roles.REGISTERED,164.553948
0.0,ORPHAN,24,23,Roles.Router
0.0,RECOVER,26,REGISTERED,25.000140
0.0,JOINED,26,25,Roles.REGISTERED,171.100995
0.0,ORPHAN,36,25,Roles.Router
0.0,JOINED,99,88,Roles.REGISTERED,172.208271
0.0,ORPHAN,55,54,Roles.Router
0.0,ORPHAN,21,12,Roles.Router
0.0,RECOVER,40,REGISTERED,20.000277
0.0,JOINED,40,20,Roles.REGISTERED,174.552344
0.0,ORPHAN,44,34,Roles.Router
0.0,ORPHAN,75,74,Roles.Router
0.0,JOINED,90,80,Roles.REGISTERED,179.553943
0.0,ORPHAN,6,15,Roles.Router
0.0,NODE_FAIL,65,Roles.CLUSTER_HEAD
0.0,ORPHAN,32,12,Roles.Router
0.0,ORPHAN,31,12,Roles.Router
0.0,RECOVER,13,REGISTERED,20.000382
0.0,JOINED,13,20,Roles.REGISTERED,181.100595
0.0,RECOVER,4,REGISTERED,20.000271
0.0,JOINED,4,12,Roles.REGISTERED,182.000697
0.0,ORPHAN,16,15,Roles.Router
0.0,ORPHAN,53,43,Roles.Router
0.0,RECOVER,24,REGISTERED,20.000550
0.0,JOINED,24,10,Roles.REGISTERED,191.087574
0.0,NODE_FAIL,50,Roles.CLUSTER_HEAD
0.0,RECOVER,21,REGISTERED,20.000353
0.0,JOINED,21,0,Roles.REGISTERED,194.552580
0.0,ORPHAN,14,3,Roles.Router
0.0,RECOVER,35,REGISTERED,35.000183
0.0,JOINED,35,25,Roles.REGISTERED,199.552109
0.0,RECOVER,55,REGISTERED,25.000105
0.0,JOINED,55,45,Roles.REGISTERED,199.552302
0.0,ORPHAN,73,54,Roles.Router
0.0,RECOVER,75,REGISTERED,20.000302
0.0,JOINED,75,56,Roles.REGISTERED,199.553408
0.0,RECOVER,32,REGISTERED,20.000390
0.0,JOINED,32,10,Roles.REGISTERED,200.744196
0.0,RECOVER,31,REGISTERED,20.000304
0.0,JOINED,31,10,Roles.REGISTERED,201.087601
0.0,NODE_FAIL,61,Roles.Router
0.0,ORPHAN,66,65,Roles.Router
0.0,RECOVER,6,REGISTERED,25.000273
0.0,JOINED,6,25,Roles.REGISTERED,205.000788
0.0,ORPHAN,47,56,Roles.Router
0.0,RECOVER,36,REGISTERED,35.000376
0.0,JOINED,36,43,Roles.REGISTERED,206.101440
0.0,ORPHAN,33,23,Roles.Router
0.0,ORPHAN,83,74,Roles.Router
0.0,ORPHAN,81,62,Roles.Router
0.0,RECOVER,14,REGISTERED,20.000247
0.0,JOINED,14,12,Roles.REGISTERED,218.005255
0.0,ORPHAN,63,54,Roles.Router
0.0,RECOVER,73,REGISTERED,20.000307
0.0,JOINED,73,52,Roles.REGISTERED,219.553412
0.0,ORPHAN,57,46,Roles.CLUSTER_HEAD
0.0,NODE_FAIL,91,Roles.CLUSTER_HEAD
0.0,ORPHAN,27,25,Roles.Router
0.0,ORPHAN,29,28,Roles.Router
0.0,RECOVER,16,REGISTERED,40.000189
0.0,JOINED,16,25,Roles.REGISTERED,225.618980
0.0,RECOVER,33,REGISTERED,20.000374
0.0,JOINED,33,3,Roles.REGISTERED,228.097467
0.0,RECOVER,44,REGISTERED,48.664510
0.0,JOINED,44,14,Roles.REGISTERED,228.216526
0.0,ORPHAN,49,58,Roles.Router
0.0,RECOVER,83,REGISTERED,20.000364
0.0,JOINED,83,62,Roles.REGISTERED,229.553771
0.0,ORPHAN,51,30,Roles.Router
0.0,ORPHAN,18,28,Roles.Router
0.0,ORPHAN,67,56,Roles.Router
0.0,RECOVER,66,REGISTERED,30.000102
0.0,JOINED,66,56,Roles.REGISTERED,234.553266
0.0,ORPHAN,38,58,Roles.Router
0.0,RECOVER,53,REGISTERED,50.000258
0.0,JOINED,53,41,Roles.REGISTERED,239.552419
0.0,ORPHAN,92,84,Roles.Router
0.0,ORPHAN,89,68,Roles.Router
0.0,ORPHAN,42,43,Roles.Router
0.0,ORPHAN,9,28,Roles.Router
0.0,ORPHAN,97,96,Roles.Router
0.0,RECOVER,81,REGISTERED,30.000333
