node_id,target_gui,hop,via_gui
0,1,1,1
0,2,1,2
0,12,1,12
0,32,1,32
0,10,1,10
0,11,1,11
0,21,1,21
0,3,1,3
0,13,1,13
0,14,2,1
0,23,2,1
0,5,2,1
0,4,1,4
0,30,2,1
0,40,1,40
0,31,1,31
0,22,1,22
0,51,2,20
0,42,2,20
0,41,2,11
0,20,1,20
0,15,2,2
0,6,2,2
0,16,2,13
0,33,2,13
0,52,2,21
0,43,2,20
0,50,2,10
0,61,2,31
0,60,2,20
0,62,2,31
0,53,2,22
0,44,2,32
0,54,2,32
0,34,2,32
0,63,2,31
0,7,2,4
0,17,2,4
0,26,2,4
0,25,2,4
0,24,2,13
0,35,2,13
0,27,2,4
0,70,3,20
0,71,3,20
0,8,3,1
0,18,3,1
0,9,3,4
0,36,3,1
0,37,3,4
0,28,3,4
0,29,3,4
0,19,3,4
0,38,3,4
0,45,3,13
0,46,3,13
0,64,3,22
0,55,3,22
0,73,3,31
0,72,3,31
1,2,1,2
1,0,1,0
1,11,1,11
1,10,1,10
1,21,1,21
1,12,1,12
1,3,1,3
1,13,1,13
1,14,1,14
1,23,1,23
1,5,1,5
1,4,1,4
1,32,1,32
1,22,1,22
1,15,2,2
1,6,2,2
1,16,2,5
1,7,2,4
1,17,2,4
1,26,2,4
1,25,2,4
1,24,2,13
1,35,2,13
1,34,2,14
1,33,2,13
1,30,2,2
1,40,2,10
1,51,2,21
1,42,2,20
1,52,2,21
1,43,2,14
1,50,2,10
1,61,2,31
1,60,2,20
1,62,2,31
1,41,2,11
1,20,1,20
1,31,1,31
1,53,2,22
1,44,2,32
1,54,2,32
1,63,2,31
1,27,2,4
1,36,2,5
1,8,2,14
1,18,2,5
1,9,3,4
1,37,3,4
1,28,3,4
1,29,3,4
1,19,3,4
1,38,3,4
1,70,3,20
1,71,3,20
1,45,3,5
1,46,3,5
1,47,3,5
1,64,3,22
1,55,3,22
1,73,3,31
1,72,3,31
2,1,1,1
2,3,1,3
2,11,1,11
2,13,1,13
2,12,1,12
2,0,1,0
2,10,1,10
2,21,1,21
2,14,1,14
2,23,1,23
2,5,1,5
2,15,1,15
2,6,2,4
2,4,1,4
2,32,1,32
2,16,2,5
2,22,1,22
2,7,2,4
2,17,2,4
2,26,2,4
2,25,2,4
2,24,2,13
2,35,2,13
2,34,2,14
2,27,2,4
2,36,2,5
2,33,2,13
2,30,2,1
2,40,2,10
2,51,2,21
2,42,2,20
2,52,2,21
2,43,2,14
2,50,2,10
2,61,2,31
2,60,2,20
2,62,2,31
2,41,2,11
2,20,1,20
2,31,1,31
2,53,2,22
2,44,2,32
2,54,2,32
2,63,2,31
2,46,3,5
2,45,3,5
2,8,2,14
2,18,2,5
2,9,3,4
2,37,3,4
2,28,3,4
2,29,3,4
2,19,3,4
2,38,3,4
2,70,3,20
2,71,3,20
2,47,3,5
2,64,3,22
2,55,3,22
2,73,3,31
2,72,3,31
3,1,1,1
3,5,1,5
3,14,1,14
3,13,1,13
3,15,1,15
3,23,1,23
3,2,1,2
3,6,2,2
3,4,1,4
3,11,1,11
3,12,1,12
3,0,2,1
3,10,1,10
3,21,1,21
3,16,1,16
3,7,2,4
3,17,2,4
3,26,1,26
3,32,1,32
3,25,1,25
3,24,1,24
3,35,2,13
3,34,2,14
3,27,2,4
3,36,2,5
3,22,1,22
3,33,2,13
3,30,2,1
3,40,2,10
3,51,2,21
3,42,2,20
3,52,2,21
3,43,2,14
3,50,2,10
3,61,2,32
3,60,2,20
3,62,2,32
3,41,2,11
3,20,1,20
3,31,2,1
3,53,2,22
3,44,2,26
3,54,2,24
3,63,2,32
3,46,3,5
3,45,3,5
3,47,3,5
3,37,3,4
3,28,3,4
3,18,2,5
3,29,3,4
3,19,3,4
3,38,3,4
3,8,2,14
3,9,2,16
3,70,3,20
3,71,3,20
3,55,3,22
3,64,3,22
3,65,3,24
3,73,3,32
3,72,3,32
4,5,1,5
4,3,1,3
4,14,1,14
4,13,1,13
4,15,1,15
4,1,1,1
4,6,1,6
4,23,1,23
4,2,1,2
4,16,1,16
4,7,1,7
4,17,1,17
4,26,1,26
4,11,1,11
4,12,1,12
4,0,2,1
4,10,1,10
4,21,1,21
4,25,1,25
4,24,1,24
4,35,1,35
4,34,1,34
4,8,1,8
4,18,2,5
4,27,1,27
4,9,2,7
4,32,1,32
4,36,2,5
