node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
0,10,35.714417,,1,160.00003571441727
0,1,316.323661,ROOT,0,169.0009703818548
0,11,239.284456,CLUSTER_HEAD,1,176.2909791291345
0,21,112.898532,,1,160.00011289853182
0,2,116.544022,REGISTERED,2,160.00011654402203
0,20,117.407454,REGISTERED,2,160.0001174074543
0,22,182.747282,,1,160.00018274728205
0,31,226.685159,REGISTERED,2,182.59514836646275
0,13,231.364041,REGISTERED,3,169.00081739339367
0,32,196.596751,CLUSTER_HEAD,2,182.59506802797495
0,40,234.490180,,1,160.00023449018008
0,30,231.436663,REGISTERED,3,160.00029199651564
0,3,237.881438,CLUSTER_HEAD,3,169.00087875533833
0,4,239.758926,REGISTERED,2,187.00097762382535
0,12,226.426737,CLUSTER_HEAD,3,188.9272790924134
1,11,239.284456,CLUSTER_HEAD,1,176.2909791291345
1,10,325.681110,REGISTERED,1,100.55505618601981
1,21,113.811573,REGISTERED,1,120.55497849110243
1,12,226.426737,CLUSTER_HEAD,3,188.9272790924134
1,2,116.544022,REGISTERED,2,160.00011654402203
1,3,237.881438,CLUSTER_HEAD,3,169.00087875533833
1,32,196.596751,CLUSTER_HEAD,2,182.59506802797495
1,4,239.758926,REGISTERED,2,187.00097762382535
1,14,228.014423,CLUSTER_HEAD,2,187.0009522765832
1,5,230.041687,REGISTERED,2,187.00092061401162
1,30,231.436663,REGISTERED,3,160.00029199651564
1,22,205.632083,REGISTERED,2,100.554928332653
1,20,237.881438,CLUSTER_HEAD,2,100.55493925978722
1,31,226.685159,REGISTERED,2,182.59514836646275
1,13,231.364041,REGISTERED,3,169.00081739339367
1,23,200.770273,REGISTERED,3,162.59479175425346
2,11,239.284456,CLUSTER_HEAD,1,176.2909791291345
2,13,231.364041,REGISTERED,3,169.00081739339367
2,12,226.426737,CLUSTER_HEAD,3,188.9272790924134
2,21,126.447147,,1,160.00012644714732
2,22,133.889384,,1,160.0001338893841
2,10,135.983519,,1,160.00013598351882
2,23,200.770273,REGISTERED,3,162.59479175425346
2,14,228.014423,CLUSTER_HEAD,2,187.0009522765832
2,3,104.716693,REGISTERED,3,171.10010471669256
2,32,196.596751,CLUSTER_HEAD,2,182.59506802797495
2,31,226.685159,REGISTERED,2,182.59514836646275
2,15,199.508607,,1,160.00019950860718
2,30,231.436663,REGISTERED,3,160.00029199651564
2,4,239.758926,REGISTERED,2,187.00097762382535
2,5,230.041687,REGISTERED,2,187.00092061401162
3,14,228.014423,CLUSTER_HEAD,2,187.0009522765832
3,26,207.848530,CLUSTER_HEAD,3,187.00086730493368
3,4,239.758926,REGISTERED,2,187.00097762382535
3,32,196.596751,CLUSTER_HEAD,2,182.59506802797495
3,11,239.284456,CLUSTER_HEAD,1,176.2909791291345
3,5,230.041687,REGISTERED,2,187.00092061401162
3,13,57.468741,,1,180.0000574687414
3,23,117.131814,,1,180.00011713181385
3,21,177.124964,,1,180.00017712496367
3,16,204.833147,,1,180.0002048331466
3,12,226.426737,CLUSTER_HEAD,3,188.9272790924134
4,14,228.014423,CLUSTER_HEAD,2,187.0009522765832
4,13,231.364041,REGISTERED,3,169.00081739339367
4,23,200.770273,REGISTERED,3,162.59479175425346
4,12,226.426737,CLUSTER_HEAD,3,188.9272790924134
4,24,200.992380,CLUSTER_HEAD,3,169.00081235383578
4,26,207.848530,CLUSTER_HEAD,3,187.00086730493368
4,35,195.433518,CLUSTER_HEAD,4,157.00078002874764
4,11,239.284456,CLUSTER_HEAD,1,176.2909791291345
4,7,230.778264,CLUSTER_HEAD,4,171.14277851782128
4,8,238.138490,REGISTERED,5,151.10074894618342
4,15,98.018985,,1,160.00009801898508
4,25,147.225767,,1,160.00014722576742
4,16,157.647949,,1,160.000157647949
4,22,159.844238,,1,160.00015984423834
4,17,198.575086,,1,160.00019857508576
4,21,211.032292,,1,160.00021103229216
4,27,233.466666,,1,160.00023346666552
4,34,195.073032,CLUSTER_HEAD,4,187.000968534194
4,5,230.041687,REGISTERED,2,187.00092061401162
5,14,228.014423,CLUSTER_HEAD,2,187.0009522765832
5,13,231.364041,REGISTERED,3,169.00081739339367
5,26,207.848530,CLUSTER_HEAD,3,187.00086730493368
5,23,200.770273,REGISTERED,3,162.59479175425346
5,24,200.992380,CLUSTER_HEAD,3,169.00081235383578
5,7,230.778264,CLUSTER_HEAD,4,171.14277851782128
5,12,226.426737,CLUSTER_HEAD,3,188.9272790924134
5,35,195.433518,CLUSTER_HEAD,4,157.00078002874764
5,11,239.284456,CLUSTER_HEAD,1,176.2909791291345
5,15,66.005057,,1,160.00006600505657
5,16,110.362446,,1,160.00011036244624
5,25,120.966223,,1,160.00012096622268
5,17,151.192633,,1,160.00015119263315
5,22,181.278351,,1,160.00018127835074
5,8,185.567018,,1,160.00018556701835
5,27,187.425813,,1,160.00018742581275
5,36,192.735143,,1,160.00019273514334
5,18,225.458368,,1,160.00022545836802
5,34,195.073032,CLUSTER_HEAD,4,187.000968534194
6,5,230.041687,REGISTERED,3,94.18365632957929
6,4,239.758926,REGISTERED,3,95.83168774331496
6,7,230.778264,CLUSTER_HEAD,4,91.10031659422413
6,15,236.846232,REGISTERED,3,99.1008982850133
6,14,232.019835,CLUSTER_HEAD,2,95.8316375277497
