node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.000000,59.866683,116.544022,192.784388,239.758926,284.782787,349.569816,428.852249,470.312167,540.558783,35.714417,73.368726,153.209153,188.758991,255.368635,303.914389,386.614434,426.494139,506.225543,542.253482,117.407454,112.898532,182.747282,217.132782,286.654983,322.289308,364.157319,451.816467,526.534523,550.007869,177.532443,185.690571,196.596751,272.220013,307.551415,336.106375,397.415356,483.865891,531.225105,583.628046,234.490180,257.327366,277.508419,302.001405,369.348118,408.429004,439.360223,512.804869,539.600523,622.530913,270.460555,291.565155,321.129838,344.933462,396.182549,430.519303,496.305778,527.369420,596.410652,639.181433,334.085858,354.649893,374.232124,404.813695,448.319994,499.328455,521.009639,572.851144,619.861215,657.015185,395.807383,406.133514,455.037850,475.109310,503.396496,538.409243,568.674989,630.582450,658.123347,716.104270,478.147141,476.770590,499.126057,532.620879,552.640349,596.968365,612.019920,661.215017,712.493285,761.336038,540.538042,532.697287,541.535485,574.334244,583.970838,638.250774,678.828894,719.194470,764.897235,782.891140
1,59.866683,0.000000,58.066711,134.429965,182.203648,228.328037,292.319798,373.309420,413.755266,483.610822,85.349765,61.555256,117.268491,138.791365,204.432190,253.620712,333.152188,373.605999,452.057132,489.067641,147.267050,113.811573,156.968468,178.318319,246.896216,278.481966,316.323661,401.645847,477.117514,499.565904,201.518540,191.355500,183.819952,247.593983,274.059486,298.122876,356.948324,441.156381,486.267155,536.173576,255.294556,261.105672,272.902431,287.956593,343.169811,377.297202,404.515798,473.413829,497.258684,578.019141,294.623563,300.825950,322.358252,328.993768,378.780882,406.183867,465.283015,491.405190,557.723289,599.763279,350.725204,363.174490,370.931897,399.483225,432.491789,476.890738,496.177499,543.789836,587.227075,620.986273,415.032504,417.985235,455.770135,469.661664,492.959998,520.778653,543.818376,602.889637,629.342058,684.080397,495.987352,487.941032,501.838917,528.670378,542.114354,581.911394,592.056826,639.939746,684.990467,730.434604,559.089906,542.840396,544.392163,571.745067,578.716502,627.158400,661.418179,699.593869,740.651007,755.431116
2,116.544022,58.066711,0.000000,76.432494,124.144783,170.469345,234.264854,315.613598,355.771958,425.564351,135.983519,83.176504,88.002157,87.757794,150.391993,199.508607,276.461326,317.142133,394.839526,432.273180,178.195488,126.447147,133.889384,138.074526,202.653703,229.672412,263.616627,346.784420,422.539741,444.289039,222.881195,196.892629,171.855121,218.828781,235.291302,254.397750,310.065793,391.685364,434.820233,482.768272,270.690932,260.084834,263.123967,268.182326,309.822769,338.628548,362.091651,426.461519,447.782704,526.595415,311.577069,303.355924,316.351640,305.981997,353.137621,373.432955,425.647978,447.223921,510.891921,552.169294,358.770368,363.043084,359.130038,385.064911,407.379177,444.961925,461.838947,505.240000,545.296473,576.048276,424.141629,419.849538,446.166233,453.888658,472.099763,492.827583,509.024821,565.150145,590.499974,642.211334,502.445301,487.972581,493.461229,513.545169,520.592837,555.768750,561.318474,607.679223,646.977434,689.330747,565.497908,541.160773,535.621783,557.447775,561.811050,604.331862,632.521436,668.490241,705.223310,717.157327
3,192.784388,134.429965,76.432494,0.000000,48.420010,95.851621,158.263543,240.948193,280.069137,349.533643,209.762397,148.014689,104.716693,57.468741,91.300265,136.651734,204.833147,245.792751,321.296327,359.645869,237.881438,177.124964,143.784174,117.131814,163.226673,178.309377,202.020248,278.938437,354.727314,374.913373,271.643193,231.845129,189.510494,206.210693,203.860813,212.236879,259.375931,334.247572,373.101042,416.934112,310.927411,282.450985,274.261285,265.180417,283.360415,302.010999,318.189258,373.170917,389.624143,464.215356,351.718905,327.530718,329.302790,295.931210,336.990852,345.486864,385.069591,398.517752,456.801814,496.395801,387.233515,381.480908,362.565316,383.975987,390.208499,416.416229,429.151219,465.075523,499.113899,524.586993,451.994313,439.010027,449.832815,448.932888,459.515333,469.387697,474.788669,525.500442,548.822593,595.237898,525.445479,503.238451,497.681927,508.197496,506.085586,533.950325,532.556785,576.024635,606.070519,643.234957,587.407646,553.252324,538.511622,552.468110,553.143975,586.651978,605.630680,637.940157,667.825293,675.298858
4,239.758926,182.203648,124.144783,48.420010,0.000000,47.697042,110.120944,192.552671,231.764025,301.425504,254.573204,189.531733,130.773778,73.135964,62.716430,98.018985,157.647949,198.575086,273.096433,311.696322,274.261404,211.032292,159.844238,117.950795,143.037691,147.225767,161.790213,233.466666,308.941754,328.292266,301.178187,255.022234,205.445559,202.070200,186.656101,186.554256,225.714057,294.772767,330.668857,371.992586,334.599637,296.387632,281.692662,264.098635,265.983170,277.122351,287.959136,335.958954,349.231918,420.993384,374.487087,341.212393,336.054602,289.093741,324.942745,325.431738,355.960465,363.980501,418.446180,456.825568,402.249973,390.417345,362.511435,380.579452,376.331590,394.708240,404.585290,435.325005,465.324109,487.437368,465.629455,447.399337,448.300285,441.930903,447.485126,450.272816,448.711194,495.576663,517.484918,560.433393,535.167155,508.324334,495.851521,500.168136,492.251421,515.184385,509.410745,550.724555,574.876906,608.749737,595.861711,555.794164,535.375531,544.201720,542.533257,570.045498,583.100584,612.933159,638.463357,643.212739
5,284.782787,228.328037,170.469345,95.851621,47.697042,0.000000,65.556135,145.260096,185.567018,255.788071,297.322952,230.041687,162.068929,105.311103,58.049750,66.005057,110.362446,151.192633,225.458368,263.999325,309.115337,244.893962,181.278351,130.514048,130.587660,120.966223,122.714731,187.425813,262.449941,281.172379,329.474765,278.537723,224.238863,202.214696,174.054574,164.355932,192.735143,254.350486,287.087696,326.076718,356.980997,310.420352,289.944935,264.625156,249.795329,252.618969,257.475439,297.526441,307.531045,376.438765,395.460939,354.087627,342.382225,283.124470,312.825901,305.046560,325.695855,328.051047,378.395558,415.483133,415.476379,397.938977,361.696198,376.154613,361.446391,371.600028,378.454275,403.681517,429.492494,448.271356,476.808985,453.663960,444.812531,433.089253,433.559354,429.205530,420.653618,463.383048,483.796461,523.247797,541.917573,510.749861,491.579041,489.716227,476.092600,493.931341,483.842914,522.784726,541.090303,571.725044,600.941643,555.333338,529.472829,533.156569,529.178361,550.570506,557.715120,584.987489,606.213815,608.354565
6,349.569816,292.319798,234.264854,158.263543,110.120944,65.556135,0.000000,85.815960,121.934198,191.307839,362.797784,295.586423,226.047476,170.288593,114.382313,92.340252,69.474400,104.408618,167.844887,208.028561,373.370689,309.053884,240.734628,187.100222,166.751823,140.531519,115.798997,147.784714,217.623791,232.200647,390.722579,337.496809,281.141244,245.219939,205.453704,183.984715,190.855077,231.135414,253.322067,282.765754,414.440860,362.283857,337.350904,305.459663,271.728156,262.077615,256.249546,277.758871,278.925232,337.599084,451.632146,404.356993,386.976838,316.402752,337.691388,318.691962,322.188881,313.085260,352.586154,385.704160,465.326967,442.810875,398.683012,408.823701,381.297773,379.084505,380.823431,395.614287,412.517714,423.505454,524.263192,496.641134,477.420113,459.419588,453.237385,438.650715,418.808331,453.218367,470.416415,502.097629,584.567489,549.171164,522.658896,513.161102,491.992555,502.048780,485.195347,519.572431,526.821623,550.452615,641.446168,590.161794,558.166044,555.295508,548.272121,560.675276,558.431199,581.074884,594.292124,591.300944
7,428.852249,373.309420,315.613598,240.948193,192.552671,145.260096,85.815960,0.000000,45.718031,115.314563,438.970833,369.909474,294.196889,243.081929,178.949932,137.926146,52.163885,42.063343,82.034794,122.389283,439.721544,375.967354,298.976078,243.918248,200.992380,161.754941,114.144176,84.269724,140.007509,150.270286,448.598885,391.615248,333.284917,278.821529,228.148933,195.433518,173.405826,179.209881,186.386322,204.591288,463.933928,403.132881,372.042464,332.050324,275.144764,250.033188,230.778264,226.473648,216.716324,262.384722,497.961247,441.361062,415.547102,331.841345,340.452363,307.658432,288.665994,265.638439,290.553298,318.468293,500.182860,470.157163,415.569432,419.166940,375.133245,356.726860,351.813622,352.965512,358.724374,360.739690,553.992050,519.752873,485.548402,459.214206,444.143808,416.529452,383.020180,406.286072,419.311820,441.733795,605.529738,564.226169,527.487533,507.524980,476.730315,476.390129,451.424303,479.401063,473.597253,489.253608,658.199960,599.104145,558.841592,546.925266,535.926591,536.256476,522.265490,538.919738,542.668058,534.064982
8,470.312167,413.755266,355.771958,280.069137,231.764025,185.567018,121.934198,45.718031,0.000000,70.740312,481.756854,413.192113,338.674177,286.413391,223.374214,183.493936,97.664748,76.872176,61.126729,100.264858,484.717515,420.806603,344.511602,289.430847,246.322081,206.432073,157.304837,106.204646,138.196200,139.751539,494.260920,437.331497,379.002904,323.656251,272.086833,238.138490,209.765592,199.135508,194.037984,197.992420,509.553325,448.265651,416.621774,375.715917,314.720235,285.639465,262.006165,244.473735,227.066182,257.911936,543.394380,486.026641,459.134497,373.513082,379.004401,342.452866,314.681065,284.695322,298.548182,321.233966,544.456400,513.355502,456.970957,459.022746,410.629364,386.464808,378.708986,372.832503,371.477330,366.649504,597.373507,562.008130,524.434272,495.857586,477.972749,445.587976,406.121824,422.770507,432.957728,448.437282,647.090756,604.547608,565.232349,542.081052,507.995813,503.287760,474.691491,498.979116,485.177387,494.791953,698.655510,637.710223,595.176925,580.282305,567.883784,563.222002,543.622537,556.839070,554.693872,542.234400
9,540.558783,483.610822,425.564351,349.533643,301.425504,255.788071,191.307839,115.314563,70.740312,0.000000,552.401547,483.917444,409.271355,357.150423,293.966106,253.033938,165.776864,136.863532,70.585089,83.824677,555.029275,491.233274,414.032678,359.033358,312.584054,271.248412,220.152615,149.442534,144.775166,132.373316,563.222752,505.712863,447.271216,388.054821,334.653490,298.673091,261.071582,228.411753,206.428096,188.231701,576.515903,513.176551,479.948157,436.959919,368.636991,333.598910,303.981889,267.984787,240.545450,246.641618,609.315350,549.393691,519.808992,430.617564,430.316718,387.961175,347.138420,307.778033,304.358988,318.050332,606.590328,572.920101,512.957173,511.989743,456.290628,423.040367,410.930149,394.246115,381.957572,366.725020,657.115465,619.287908,575.135236,542.658287,520.033665,480.111073,431.816943,437.771406,443.322408,447.693676,702.588307,657.633105,613.553616,584.822316,545.404652,533.521309,499.452529,517.500805,491.332767,491.379418,751.677322,687.287234,640.730726,620.636835,605.915235,592.906443,564.391487,571.946988,560.509163,542.184390
